,arrivals_exponential_rate,services_exponential_rate,number_of_stations,queue_size_avg,wait_time_avg,response_time_avg,end_to_end_delay_avg,drop_probabilities,queue_capacity
3378,470,580;580;580,3,2.4224542382074485;2.3065737404586453;2.0667556711343633,0.005257458770336552;0.005090758574908844;0.00460981308994898,0.006970541342534744;0.006824085546607283;0.006327057949450687,0.020185095630118277;0.0;0.0,0.02063;0.01662310080052279;0.010497788299794406,10.0
3379,470,590;590;590,3,2.3110935982680596;2.123665834917185;1.9685096052138915,0.005013970580739358;0.004669468500892379;0.0043748961532164175,0.0067087712616138735;0.006358732833387322;0.006063733909584814,0.01919792450299416;0.0;0.0,0.01904;0.013222550718727698;0.010558614775861891,10.0
3380,470,600;600;600,3,2.143509599931151;2.0134934588848354;1.9051234888322632,0.0046566757592464945;0.004423923743140536;0.004226726068623856,0.0063267249095783195;0.00609343295540692;0.005901447955439085,0.018365030936566114;0.0;0.0,0.01588;0.011218486114074932;0.009691376422104148,10.0
3381,470,610;610;610,3,2.0475398359415284;1.9595111910856735;1.8823208523683004,0.004397413237557546;0.0042513090520824885;0.004126292787314686,0.006035287403004112;0.005891641606789158;0.005776160237819445,0.01773977369128412;0.0;0.0,0.01383;0.010069666271181284;0.010285093784894025,10.0
3382,470,620;620;620,3,1.9765145661338492;1.8442493006181826;1.7615641758092606,0.004241140392901515;0.00399747548351282;0.0038481286753147305,0.005858143551289935;0.0056053230632216716;0.005461118461291933,0.016959589844601712;0.0;0.0,0.01241;0.010034731715220187;0.007743057331355802,10.0
3383,470,630;630;630,3,1.8793844065181284;1.7671566912797714;1.6857923856175536,0.0040353551393417135;0.0038233380215691405;0.003671903466971117,0.005620789726996265;0.005407261037178002;0.005259717585833496,0.01631593429872516;0.0;0.0,0.0117;0.007599214781535224;0.006658237657279197,10.0
3384,470,640;640;640,3,1.6877099455996472;1.6435836049773334;1.579649279007145,0.0036247827796663744;0.003554304273763199;0.003434923496297595,0.005180667280839236;0.005115220829304985;0.004989210299309067,0.01530386153889826;0.0;0.0,0.00875;0.006769503939629342;0.005485129205265724,10.0
3385,470,650;650;650,3,1.600510831495267;1.5895009453328577;1.5848532610045387,0.003433888072249652;0.0034324160908922132;0.003443270425987806,0.0049657503472931635;0.00497588726114605;0.00499341070385231,0.01495555422778238;0.0;0.0,0.0072;0.006436665827247545;0.005951536043800061,10.0
3386,470,660;660;660,3,1.5565410519033611;1.5370271735075844;1.5073670002139368,0.003329276334447806;0.0033073532055367147;0.003262434870817698,0.004841783001932941;0.004823112241358919;0.004779306895814465,0.014459760750490686;0.0;0.0,0.00707;0.005881997461877808;0.005754870870018946,10.0
3387,470,670;670;670,3,1.5173226199111034;1.4586279758795389;1.4153228095947785,0.003231282820701882;0.003121142029090874;0.003044741880431312,0.00472683580572455;0.004611775944925995;0.004530592037489663,0.013882495568494227;0.0;0.0,0.00649;0.004730940349888269;0.005329908167806141,10.0
